,classifier,train_score_avg,train_score_sem,test_score_avg,test_score_sem,fake_train_score_avg,fake_train_score_sem,fake_test_score_avg,fake_test_score_sem
0,RidgeClassifierCV,0.9493563293538477,0.0009109404896307096,0.9102778649441696,0.011490199600146599,0.2182518694983988,0.0013690041665684822,0.08809654245797414,0.004104840360105324
1,RandomForestClassifier,0.9996907774227857,0.00010307429041975832,0.9247627786990134,0.009064231430051315,0.9939445338839976,0.0006157638323689515,0.0944416199340071,0.006576040399514726
2,SVC,0.9969098090889468,0.0002060677875295237,0.9671779608336898,0.005142541239500201,0.8353596559484509,0.002209131173159769,0.08159288263834286,0.004954326540631771
3,DecisionTreeClassifier,1.0,0.0,0.8347267588282262,0.013666219262183022,1.0,0.0,0.09018974773274012,0.006484931406529876
4,BaggingClassifier,0.9993190151366147,0.00021554717420869233,0.9090532054961914,0.013461781479318386,0.9944333978914921,0.0005536385849101309,0.08789403670511862,0.006528735732616822
5,LogisticRegressionCV,0.9907152017443861,0.0006572781156481069,0.9344329556362693,0.0109426218775119,0.11594297976202383,0.0027039310588608274,0.05467092024334197,0.0031232882928498656
6,ExtraTreeClassifier,1.0,0.0,0.7536987866143127,0.011825820388728403,1.0,0.0,0.10647811021460991,0.006032265888321472
7,SGDClassifier,0.9880304494575174,0.000745082587328845,0.9181367712445951,0.014515113970940297,0.14922974802228356,0.002860755412074632,0.08704247111786978,0.006208419056157668
8,PassiveAggressiveClassifier,0.9829937126277987,0.0007824939970317276,0.9187367801451816,0.011848067178184804,0.14828620447976895,0.002688610546914315,0.09255807365055146,0.006431765207904943
9,AdaBoostClassifier,0.20578541582065651,0.005560775562334546,0.1982311340636243,0.012616913107419499,0.20565746305568586,0.0017850869813478385,0.0966467046513872,0.009626449341230588
10,GradientBoostingClassifier,1.0,0.0,0.9385357878013302,0.009510164967677112,0.964362906439567,0.0012714856103013495,0.07906877922061066,0.004974490126129141
11,DecisionTreeClassifier,1.0,0.0,0.8347267588282262,0.013666219262183022,1.0,0.0,0.09018974773274012,0.006484931406529876
12,SGDClassifier,0.9880304494575174,0.000745082587328845,0.9181367712445951,0.014515113970940297,0.14922974802228356,0.002860755412074632,0.08704247111786978,0.006208419056157668
13,RidgeClassifier,0.9494218658314125,0.0009755412747944562,0.9097729626991045,0.011242520074642548,0.21837080180183316,0.0013493561508008916,0.08814517029016318,0.004117402552138033
14,PassiveAggressiveClassifier,0.9829937126277987,0.0007824939970317276,0.9187367801451816,0.011848067178184804,0.14828620447976895,0.002688610546914315,0.09255807365055146,0.006431765207904943
15,AdaBoostClassifier,0.20578541582065651,0.005560775562334546,0.1982311340636243,0.012616913107419499,0.20565746305568586,0.0017850869813478385,0.0966467046513872,0.009626449341230588
16,GradientBoostingClassifier,1.0,0.0,0.9385357878013302,0.009510164967677112,0.964362906439567,0.0012714856103013495,0.07906877922061066,0.004974490126129141
17,BaggingClassifier,0.9993190151366147,0.00021554717420869233,0.9090532054961914,0.013461781479318386,0.9944333978914921,0.0005536385849101309,0.08789403670511862,0.006528735732616822
18,ExtraTreesClassifier,1.0,0.0,0.9362230398508495,0.008509959067422242,1.0,0.0,0.10128790415776896,0.007852816314520854
19,LogisticRegression,0.988976332266162,0.0004478625884090999,0.9354260022292934,0.011146591804468257,0.21824850787912511,0.0009420863106772274,0.08879285111651841,0.005005715740764439
20,LogisticRegressionCV,0.9907152017443861,0.0006572781156481069,0.9344329556362693,0.0109426218775119,0.11594297976202383,0.0027039310588608274,0.05467092024334197,0.0031232882928498656
21,KNeighborsClassifier,0.9866834122424974,0.0003717359036589815,0.9585258779741215,0.00751093263104493,0.3586528987632701,0.00210041321476079,0.0921275760384296,0.00395218708435997
22,GaussianProcessClassifier,1.0,0.0,0.9539747703953418,0.005007666060815091,1.0,0.0,0.06877270167426937,0.007239712993630927
23,GaussianNB,0.805366320688722,0.007583669234114105,0.7494930826210265,0.017481423458552872,0.2898461284504127,0.00241906269358202,0.07389683600570238,0.004531056652415796
24,LinearDiscriminantAnalysis,0.9656078559526872,0.000918743832887903,0.9188764996716257,0.00938376771448246,0.2184534859741115,0.0013703901702398012,0.08789955161598015,0.004308106470256856
25,LinearSVC,0.9957207800614795,0.0003972620073479656,0.9214121468636332,0.011389473825999835,0.21781306053738042,0.0014218522915997104,0.088838999149256,0.004188709885161399
26,NearestCentroid,0.8999461546024954,0.00142823700478182,0.8655917960652293,0.017843854412385236,0.21669867575863364,0.0015350774686797989,0.08539764908263135,0.0058207712881509464
27,NuSVC,0.9655331586106624,0.0008996369006381515,0.9214571471693116,0.012196628688147382,1.0,0.0,0.09746405731640514,0.007439281732856078
28,QuadraticDiscriminantAnalysis,0.05967135918490553,0.0052356576619812184,0.04900509550597718,0.007652316986308175,0.9865197582601339,0.0007054586643481252,0.09617204578244999,0.00581744887067402
