,classifier,train_score_avg,train_score_sem,test_score_avg,test_score_sem,fake_train_score_avg,fake_train_score_sem,fake_test_score_avg,fake_test_score_sem
0,RidgeClassifierCV,0.8533333333333333,0.004102036475515104,0.8333333333333334,0.030225490019412098,0.4377777777777778,0.006192561088387381,0.3866666666666667,0.029481109247603554
1,RandomForestClassifier,0.9985185185185184,0.0009876543209876556,0.9533333333333334,0.01735611039090367,0.9800000000000001,0.0019284567101004112,0.3533333333333334,0.04666666666666666
2,SVC,0.9748148148148148,0.001637839402644644,0.9666666666666666,0.014907119849998594,0.5962962962962963,0.007749311025419867,0.2666666666666667,0.03583225665910466
3,DecisionTreeClassifier,1.0,0.0,0.9533333333333334,0.014229164972072992,1.0,0.0,0.28,0.04309048762147848
4,BaggingClassifier,0.9948148148148148,0.0011315001715940362,0.9533333333333334,0.014229164972072992,0.9718518518518519,0.004913518207933923,0.3733333333333334,0.039999999999999994
5,LogisticRegressionCV,0.9540740740740741,0.0026593406454985123,0.9333333333333333,0.019876159799998128,0.43629629629629624,0.004869897018102717,0.36,0.04239729784075314
6,ExtraTreeClassifier,1.0,0.0,0.9266666666666667,0.020964402515681338,1.0,0.0,0.3533333333333334,0.03981438414926426
7,SGDClassifier,0.9251851851851853,0.015118290878855934,0.9133333333333333,0.024444444444444442,0.35333333333333333,0.008627854424521558,0.3066666666666667,0.02474561939035565
8,PassiveAggressiveClassifier,0.9096296296296297,0.012867964662513954,0.9133333333333333,0.02638742686008426,0.3548148148148148,0.011552284015100823,0.38666666666666666,0.03950308629918039
9,AdaBoostClassifier,0.9577777777777777,0.0033218824807589326,0.9533333333333334,0.01735611039090367,0.6933333333333334,0.006362517889740811,0.26,0.020964402515681338
10,GradientBoostingClassifier,1.0,0.0,0.9533333333333334,0.014229164972072992,1.0,0.0,0.31333333333333335,0.03449816599168894
11,DecisionTreeClassifier,1.0,0.0,0.9533333333333334,0.014229164972072992,1.0,0.0,0.28,0.04309048762147848
12,SGDClassifier,0.9251851851851853,0.015118290878855934,0.9133333333333333,0.024444444444444442,0.35333333333333333,0.008627854424521558,0.3066666666666667,0.02474561939035565
13,RidgeClassifier,0.8533333333333333,0.004102036475515104,0.8333333333333334,0.030225490019412098,0.4362962962962963,0.00702294452016192,0.3866666666666667,0.029481109247603554
14,PassiveAggressiveClassifier,0.9096296296296297,0.012867964662513954,0.9133333333333333,0.02638742686008426,0.3548148148148148,0.011552284015100823,0.38666666666666666,0.03950308629918039
15,AdaBoostClassifier,0.9577777777777777,0.0033218824807589326,0.9533333333333334,0.01735611039090367,0.6933333333333334,0.006362517889740811,0.26,0.020964402515681338
16,GradientBoostingClassifier,1.0,0.0,0.9533333333333334,0.014229164972072992,1.0,0.0,0.31333333333333335,0.03449816599168894
17,BaggingClassifier,0.9948148148148148,0.0011315001715940362,0.9533333333333334,0.014229164972072992,0.9718518518518519,0.004913518207933923,0.3733333333333334,0.039999999999999994
18,ExtraTreesClassifier,1.0,0.0,0.9400000000000001,0.015555555555555552,1.0,0.0,0.36666666666666664,0.04006168083848877
19,LogisticRegression,0.9140740740740739,0.004838498257349494,0.9,0.022771001702132435,0.43555555555555553,0.005387018328215168,0.38666666666666666,0.03265986323710904
20,LogisticRegressionCV,0.9540740740740741,0.0026593406454985123,0.9333333333333333,0.019876159799998128,0.43629629629629624,0.004869897018102717,0.36,0.04239729784075314
21,KNeighborsClassifier,0.9570370370370371,0.0024192491286747315,0.9533333333333334,0.01735611039090367,0.5414814814814815,0.011176760787907433,0.36,0.03744955454745048
22,GaussianProcessClassifier,0.965925925925926,0.0019753086419753052,0.9666666666666666,0.014907119849998594,0.7229629629629629,0.005318681290997034,0.28666666666666674,0.04222222222222223
23,GaussianNB,0.9607407407407408,0.0019284567101003963,0.9533333333333334,0.014229164972072992,0.4674074074074074,0.008148148148148142,0.36,0.055511093319096864
24,LinearDiscriminantAnalysis,0.9799999999999999,0.0015810183302303353,0.9800000000000001,0.014229164972072992,0.4325925925925926,0.005863872635574277,0.38666666666666666,0.036918328279635884
25,LinearSVC,0.9511111111111111,0.0022630003431880594,0.9400000000000001,0.01845916413981794,0.4362962962962963,0.00702294452016192,0.3866666666666667,0.029481109247603554
26,NearestCentroid,0.8622222222222222,0.004579564689133687,0.8600000000000001,0.01845916413981795,0.42814814814814806,0.007053262645474418,0.36,0.037449554547450484
27,NuSVC,0.968888888888889,0.0014814814814814834,0.9666666666666666,0.014907119849998594,0.8244444444444443,0.007411521491261049,0.28,0.03413842554608271
28,QuadraticDiscriminantAnalysis,0.9799999999999999,0.0015810183302303353,0.9800000000000001,0.014229164972072992,0.5251851851851852,0.006847123271042993,0.3666666666666667,0.04581228472908511
