,classifier,train_score_avg,train_score_sem,test_score_avg,test_score_sem,fake_train_score_avg,fake_train_score_sem,fake_test_score_avg,fake_test_score_sem
0,RidgeClassifierCV,1.0,0.0,0.7668589743589743,0.03708550792358758,1.0,0.0,0.4767721167721167,0.0440896319541037
1,RandomForestClassifier,0.9933333329263888,0.00245675923691548,0.6070704295704294,0.07747706371024302,0.9866774901105572,0.003612303011731152,0.480053835053835,0.038960347173673714
2,SVC,1.0,0.0,0.5617479742479743,0.0496101345657301,1.0,0.0,0.3972328325269502,0.02924667148171748
3,DecisionTreeClassifier,1.0,0.0,0.9082323232323233,0.03211014569126059,1.0,0.0,0.5682431457431456,0.04936787049088548
4,BaggingClassifier,0.9855537609813897,0.002893570349473349,0.9198193473193473,0.029413880152958084,0.9832781130912345,0.00448124774841268,0.5142299367299368,0.05715173933250835
5,LogisticRegressionCV,1.0,0.0,0.767449494949495,0.040222876148656626,0.935133107655364,0.030873235622241646,0.381468253968254,0.02613423395786536
6,ExtraTreeClassifier,1.0,0.0,0.5913977688977688,0.05646601203668759,1.0,0.0,0.4458333333333332,0.06071360699633048
7,SGDClassifier,1.0,0.0,0.7268404743404743,0.038817126733959054,1.0,0.0,0.48412060162060155,0.04698435836900494
8,RidgeClassifier,1.0,0.0,0.7668589743589743,0.03708550792358758,1.0,0.0,0.4670751470751471,0.0395401951314896
9,PassiveAggressiveClassifier,1.0,0.0,0.738939393939394,0.04059021361323608,1.0,0.0,0.48314019314019313,0.04119013615668696
10,AdaBoostClassifier,1.0,0.0,0.9389646464646464,0.02719389534805017,1.0,0.0,0.43861194361194367,0.04660598288577348
11,GradientBoostingClassifier,1.0,0.0,0.9082323232323233,0.03211014569126059,1.0,0.0,0.5267424242424241,0.05751741274548071
12,ExtraTreesClassifier,1.0,0.0,0.5464818514818515,0.02491391950383709,1.0,0.0,0.4796833721833721,0.0366849434301371
13,LogisticRegression,1.0,0.0,0.7577525252525252,0.04240857444764716,1.0,0.0,0.507453934953935,0.04819878279164716
14,KNeighborsClassifier,0.8104893659083103,0.006284461682821123,0.6425255300255299,0.030165587105401032,0.4777863110806182,0.014171632239684399,0.3177433677433677,0.03304722100781004
15,GaussianProcessClassifier,1.0,0.0,0.34485188014599777,0.007729223766142602,1.0,0.0,0.34485188014599777,0.007729223766142602
16,GaussianNB,1.0,0.0,0.7949286824286824,0.05843992643376823,1.0,0.0,0.4595182595182596,0.05089847084023327
17,LinearDiscriminantAnalysis,0.6651982861120258,0.005945926224707365,0.7001939726939728,0.037578463949541625,0.616194137020668,0.007619484165889277,0.501540404040404,0.06451105577373911
18,LinearSVC,1.0,0.0,0.7668589743589743,0.03708550792358758,1.0,0.0,0.4670751470751471,0.0395401951314896
19,NearestCentroid,1.0,0.0,0.7581818181818182,0.045039431331648956,1.0,0.0,0.5218434343434344,0.0537128361877046
20,NuSVC,1.0,0.0,0.7486616161616162,0.038999762691380765,1.0,0.0,0.46170079920079915,0.03870607065207399
21,QuadraticDiscriminantAnalysis,1.0,0.0,0.5099922299922299,0.05578164573288122,1.0,0.0,0.48881757131757136,0.0594606668697054
