,classifier,train_score_avg,train_score_sem,test_score_avg,test_score_sem,fake_train_score_avg,fake_train_score_sem,fake_test_score_avg,fake_test_score_sem
0,RidgeClassifierCV,0.9975076672193504,0.0010175317442139295,0.9833333333333334,0.008486251286955264,0.5049809056488029,0.005184593438647843,0.3534614723082215,0.0299983908334995
1,RandomForestClassifier,1.0,0.0,0.9444100447196423,0.014351823723616281,0.9825190708404408,0.003064721973014231,0.44917225662194704,0.054005069881829994
2,SVC,0.9987577160493828,0.0008282092692426859,0.9780701754385964,0.008956791531701874,0.745935379058499,0.009168911925994038,0.3381836945304437,0.03558020000290388
3,DecisionTreeClassifier,1.0,0.0,0.8891468868249055,0.027402826079368697,1.0,0.0,0.41329334365325077,0.02618265897466568
4,BaggingClassifier,0.99875,0.0008333333333333304,0.9443347953216374,0.014122892989391744,0.9825036387416753,0.0026102842733957696,0.35433866529067765,0.03524691081734747
5,LogisticRegressionCV,0.9987537852317727,0.0008308551980904656,0.9888888888888889,0.00740740740740741,0.41758766528061725,0.009899011498522091,0.3933716030271758,0.0108840743704403
6,ExtraTreeClassifier,1.0,0.0,0.8641124871001032,0.023412595407359616,1.0,0.0,0.3036442208462332,0.025105119291113517
7,SGDClassifier,0.9975077160493827,0.0013796201355764657,0.9783625730994153,0.011818718433703017,0.40139555780535413,0.010226614883037942,0.30448916408668725,0.0344840350644661
8,PassiveAggressiveClassifier,1.0,0.0,0.983625730994152,0.008341166820793248,0.40639948952722404,0.009794023142456374,0.3919827141382869,0.030210440293410724
9,AdaBoostClassifier,0.9581552800456616,0.01000610856348879,0.8692982456140351,0.049810789965182935,0.7353372617998678,0.011873554197580039,0.34501848985208117,0.02879091824698441
10,GradientBoostingClassifier,1.0,0.0,0.9173998108015136,0.0307603339532237,1.0,0.0,0.35912452700378394,0.041864056108560865
11,DecisionTreeClassifier,1.0,0.0,0.8891468868249055,0.027402826079368697,1.0,0.0,0.41329334365325077,0.02618265897466568
12,SGDClassifier,0.9975077160493827,0.0013796201355764657,0.9783625730994153,0.011818718433703017,0.40139555780535413,0.010226614883037942,0.30448916408668725,0.0344840350644661
13,RidgeClassifier,0.9993710691823899,0.0006289308176100626,0.9836257309941521,0.008341166820793248,0.5081020724912576,0.0062943633873818,0.34790591675266597,0.030913058800776026
14,PassiveAggressiveClassifier,1.0,0.0,0.983625730994152,0.008341166820793248,0.40639948952722404,0.009794023142456374,0.3919827141382869,0.030210440293410724
15,AdaBoostClassifier,0.9581552800456616,0.01000610856348879,0.8692982456140351,0.049810789965182935,0.7353372617998678,0.011873554197580039,0.34501848985208117,0.02879091824698441
16,GradientBoostingClassifier,1.0,0.0,0.9173998108015136,0.0307603339532237,1.0,0.0,0.35912452700378394,0.041864056108560865
17,BaggingClassifier,0.99875,0.0008333333333333304,0.9443347953216374,0.014122892989391744,0.9825036387416753,0.0026102842733957696,0.35433866529067765,0.03524691081734747
18,ExtraTreesClassifier,1.0,0.0,0.9614035087719298,0.01663671601820808,1.0,0.0,0.28402347781217746,0.03179810545539287
19,LogisticRegression,0.9987615980369604,0.0008256062545784456,0.9833333333333334,0.008486251286955264,0.5099809535745753,0.0034156750977673614,0.3370872033023736,0.031760206915016485
20,LogisticRegressionCV,0.9987537852317727,0.0008308551980904656,0.9888888888888889,0.00740740740740741,0.41758766528061725,0.009899011498522091,0.3933716030271758,0.0108840743704403
21,KNeighborsClassifier,0.9750228560722135,0.0013346024517475934,0.9666322669418644,0.012299391646689252,0.49873415646299846,0.007006180826596765,0.29132911936704503,0.022704171731668762
22,GaussianProcessClassifier,1.0,0.0,0.9597630718954248,0.014935228724736696,1.0,0.0,0.2916623667010664,0.031756908063277085
23,GaussianNB,0.9856403344387005,0.0009582389137849362,0.9616959064327485,0.014147333805149648,0.5393177630636613,0.0068000787833629355,0.326234090127279,0.037087447700257244
24,LinearDiscriminantAnalysis,1.0,0.0,0.9832989336085312,0.008516294370149587,0.5068597867321205,0.004387845728151303,0.3318240454076367,0.03161904168877307
25,LinearSVC,1.0,0.0,0.9780701754385965,0.008956791531701874,0.5093520724912576,0.006169512071861187,0.34790591675266597,0.030913058800776026
26,NearestCentroid,0.9750267868898236,0.0016191805705493372,0.960749914000688,0.012270515725434356,0.49623449646470574,0.007672284927607391,0.24633857929136563,0.03573103269805091
27,NuSVC,0.9887653344387008,0.0008309988033917579,0.9780701754385964,0.008956791531701874,0.9594247885478744,0.002135293015741138,0.2569745442036463,0.031440081480199854
28,QuadraticDiscriminantAnalysis,0.9950037852317728,0.0008327512954084702,0.9780701754385965,0.008956791531701874,0.7116142431055611,0.009460364671912254,0.28175524595803225,0.030877582450139957
